Employee,EmployeeNr,Position,Department,Age,Gender,Tenure,HireDate,Exit Date,Turnover Type,Turnover Reason,Hours Worked,Salary Per Hour,Absenteeism Days,Absenteeism Date,Promotion
Employee_1,E001,Plumber,Design,41,Female,8,28/11/2018,06/01/2021,Involuntary,Project completed,207,44,1,08/06/2025,Promoted to Lead Plumber
Employee_2,E002,Project Manager,Project Management,21,Male,6,29/11/2000,,,,175,18,15,19/02/2025,
Employee_3,E003,Plumber,Operations,43,Male,19,19/02/2005,,,,170,29,3,10/01/2025,Promoted to Lead Plumber
Employee_4,E004,Heavy Machine Operator,Logistics,45,Female,6,30/05/2003,,,,213,50,7,23/02/2025,Promoted to Senior Heavy Machine Operator
Employee_5,E005,Heavy Machine Operator,Engineering,56,Male,11,24/11/2023,,,,183,14,10,28/01/2025,Promoted to Senior Heavy Machine Operator
Employee_6,E006,Plumber,Engineering,47,Female,20,15/08/2020,,,,187,21,8,25/09/2025,Promoted to Senior Plumber
Employee_7,E007,Plumber,Logistics,57,Female,10,05/01/2011,,,,165,27,14,25/04/2025,Promoted to Senior Plumber
Employee_8,E008,Mason,Logistics,41,Male,15,31/07/2014,11/08/2019,Involuntary,Personal reasons,176,31,8,18/05/2025,
Employee_9,E009,Welder,Health & Safety,25,Male,13,30/11/2021,,,,175,40,15,26/08/2025,
Employee_10,E010,Project Manager,Operations,34,Female,7,25/09/2013,,,,183,40,11,24/07/2025,Promoted to Lead Project Manager
Employee_11,E011,Quantity Surveyor,Design,49,Female,9,11/04/2011,13/11/2015,Involuntary,Project completed,207,44,5,07/04/2025,Promoted to Lead Quantity Surveyor
Employee_12,E012,Plumber,Operations,57,Other,19,10/09/2012,,,,213,22,9,12/04/2025,
Employee_13,E013,Safety Officer,Project Management,54,Male,8,15/01/2002,,,,195,28,4,04/08/2025,
Employee_14,E014,Mason,Operations,50,Female,14,14/04/2015,15/09/2016,Involuntary,Personal reasons,190,17,2,16/07/2025,
